Año,Factor FV,SOH inicio,SOH mínimo técnico,SOH final,Capacidad BESS inicio [MWh],Capacidad BESS final [MWh],Ciclos mínimos técnicos,Ciclos máximos permitidos año,Ciclos equivalentes año,Ciclos equivalentes acumulados,EOL alcanzado,Energía demanda [MWh],Energía FV [MWh],Energía eólica [MWh],Energía red Valle [MWh],Energía red Resto [MWh],Energía red Pico [MWh],Carga renovable BESS [MWh],Carga red total [MWh],Descarga obligatoria [MWh],Descarga económica [MWh],Descarga total BESS [MWh],SOC mínimo observado [MWh],Costo red Valle [USD],Costo red Resto [USD],Costo red Pico [USD],Costo energía red [USD],OPEX FV [USD],OPEX eólico [USD],OPEX BESS [USD],OPEX total [USD],Costo potencia contratada [USD],Costo reemplazo BESS [USD],Flujo anual nominal [USD],VP flujo anual [USD],Demanda no abastecida [MWh],Horas no cumple,Cumple demanda,Exportación [MWh],Curtailment [MWh],Modo despacho,Energía red total [MWh],Aumento red vs año 1 [MWh],Aumento red vs año 1 [%],Pérdida FV vs año 1 [MWh],Variación FV vs año 1 [%],SOH BESS inicio [%],SOH BESS final [%],Pérdida capacidad BESS vs nominal [MWh],Costo energía red a precios año 1 [USD],VP costo energía red [USD],Demanda cubierta por red [%]
1,0.99,1.0,0.7,0.9882905098367868,25.075,24.781384534157425,15.326167554671365,11707.804581684775,468.3796065285314,468.3796065285314,False,129446.0,43658.02861051935,54858.985,16023.713841319925,12671.365737438282,7228.48471172305,4934.369974522637,6192.110836353814,328.57962197554366,9713.069309840454,10041.648931815998,2.5075000000000003,512758.8429222376,823638.7729334882,903560.5889653811,2239958.204821107,153560.13137534796,223861.0,108385.44383033935,485806.5752056873,810000.0,0.0,3535764.7800267944,3273856.277802587,0.0,0,True,3909.7460219401582,0.0,económico LP + reserva multianual de degradación,35923.564290481256,0.0,0.0,0.0,0.0,100.0,98.82905098367868,0.29361546584257425,2239958.204821107,2074035.3748343582,27.751776254562717
2,0.986,0.9882905098367868,0.7,0.9766733041092718,24.781384534157425,24.49008310053999,15.331213437147875,11254.756188593394,464.6882291005956,933.0678356291268,False,129446.0,43481.63253532533,54858.985,16010.13838681699,12765.327044828591,7277.157265748128,4866.790690113506,6172.000478547217,328.6878012806929,9633.821228435612,9962.509029716304,2.4781384534157427,525132.5390875972,850489.9143617048,932385.774673979,2308008.228123281,157399.13465973164,229457.525,111095.07992609784,497951.7395858295,830249.9999999999,0.0,3636209.967709111,3117463.964085314,0.0,0,True,3870.958093774628,0.0,económico LP + reserva multianual de degradación,36052.62269739371,129.05840691245248,0.35925835718547944,176.3960751940249,-0.40404040404041774,98.82905098367868,97.66733041092718,0.5849168994600085,2251715.3445105185,1978745.0515460228,27.851476830024648
3,0.982,0.9766733041092718,0.7,0.9651496536137272,24.49008310053999,24.201127564364207,15.336259319624393,10805.404218812424,460.94601982178847,1394.0138554509151,False,129446.0,43305.23646013132,54858.985,15994.854918777128,12859.758847283962,7327.046153787853,4799.783476016879,6150.110526433867,328.79598058584224,9553.48335662596,9882.2793372118,2.4490083100539994,537747.022369287,878200.9690303011,962247.2331654204,2378195.224565008,161334.11302622495,235193.963125,113872.45692425028,510400.5330754752,851006.2499999999,0.0,3739602.0076404833,2968616.64224877,0.0,0,True,3832.266714741316,0.0,económico LP + reserva multianual de degradación,36181.65991984894,258.09562936768634,0.7184577434485656,352.7921503880352,-0.8080808080808133,97.66733041092718,96.51496536137272,0.8738724356357928,2263600.451697807,1887888.044699906,27.95116104000814
4,0.978,0.9651496536137272,0.7,0.953719876202367,24.201127564364207,23.91452589577435,15.341305202100909,10359.799504192735,457.1910964544068,1851.204951905322,False,129446.0,43128.840384937306,54858.985,15977.763355950408,12954.776123703768,7378.072448148416,4733.833694573386,6126.86111514748,328.9041598909916,9472.872905882094,9801.777065773083,2.4201127564364207,550601.7141277288,906807.0021783776,993172.131247728,2450580.8475538343,165367.46585188052,241073.8122031249,116719.26834735653,523160.546402362,872281.4062499998,0.0,3846022.800206196,2826941.5726873637,0.0,0,True,3793.519568792112,0.0,económico LP + reserva multianual de degradación,36310.611927802594,387.0476373213387,1.0774199191139158,529.1882255820456,-1.2121212121211977,96.51496536137272,95.3719876202367,1.1604741042256492,2275607.93144971,1801250.0796433026,28.050779419837305
5,0.974,0.953719876202367,0.7,0.942384508770406,23.91452589577435,23.630291557417927,15.346351084577424,9917.954758822909,453.41469727844327,2304.619649183765,False,129446.0,42952.44430974329,54858.985,15958.916448893386,13050.673926432351,7429.811975304124,4668.626935669508,6102.358517837087,329.0123391961409,9391.80203259356,9720.814371789704,2.391452589577435,563701.0462942675,936357.6372370744,1025140.2791575852,2525198.962688927,169501.65249817751,247100.65750820303,119637.25005604042,536239.560062421,894088.4414062497,0.0,3955526.9641575976,2692065.1872195927,0.0,0,True,3754.6605786562495,0.0,económico LP + reserva multianual de degradación,36439.40235062986,515.838060148606,1.4359322921787268,705.5843007760632,-1.6161616161616044,95.3719876202367,94.2384508770406,1.4447084425820726,2287705.6284957062,1718607.9831731466,28.150272971455173
6,0.97,0.942384508770406,0.7,0.9311468969566002,23.630291557417927,23.348508441186752,15.351396967053937,9479.891458511518,449.5044725522235,2754.124121735989,False,129446.0,42776.048234549264,54858.985,15937.0367558922,13147.039794735603,7484.359881761329,4603.403579998856,6074.693456129881,329.12051850129023,9307.862056604896,9636.982575106187,2.363029155741793,577001.416792198,966853.4719326424,1058483.2798067338,2602338.1685315743,173739.19381063196,253278.17394590809,122628.18130744142,549645.5490639815,916440.6524414058,0.0,4068424.3700369615,2563797.4672683217,0.0,0,True,3716.3552059158455,0.0,económico LP + reserva multianual de degradación,36568.436432389135,644.8721419078793,1.795122935723704,881.9803759700881,-2.020202020202022,94.2384508770406,93.11468969566002,1.7264915588132475,2300087.7480665306,1639914.472687204,28.249954755179097
7,0.966,0.9311468969566002,0.7,0.9200119968184098,23.348508441186752,23.069300820221628,15.356442849530453,9045.743428808824,445.3960055276182,3199.520127263607,False,129446.0,42599.652159355246,54858.985,15909.867762968252,13244.04712102345,7543.172190109355,4538.6406228079495,6041.8586979757565,329.2286978064395,9219.671939200856,9548.900637007297,2.3348508441186757,590418.205739255,998337.2279888976,1093470.8926645415,2682226.326392694,178082.67365589773,259610.12829455576,125693.88584012743,563386.6877905809,939351.6687524408,0.0,4184964.682935716,2441886.697004231,0.0,0,True,3678.1255496798967,0.0,económico LP + reserva multianual de degradación,36697.08707410106,773.5227836198028,2.153246201754999,1058.3764511641057,-2.4242424242424288,93.11468969566002,92.00119968184099,2.0056991797783716,2312875.355045178,1565053.299369374,28.349340322683638
8,0.962,0.9200119968184098,0.7,0.908981239885686,23.069300820221628,22.792704590133575,15.361641367719375,8615.709064648927,441.2302773089544,3640.750404572562,False,129446.0,42423.25608416123,54858.985,15879.796555044482,13343.752377385268,7602.0616799274785,4474.784492333565,6006.756858371515,329.34014948770664,9130.25091952363,9459.591069011338,2.3069300820221628,604034.8139561898,1030999.3428458232,1129557.8021796038,2764591.958981617,182534.7404972952,266100.38150191965,128836.23298613064,577471.3549853455,962835.460471252,0.0,4304898.774438215,2325802.8587596565,0.0,0,True,3639.901414824714,0.0,económico LP + reserva multianual de degradación,36825.61061235723,902.046321875976,2.5110156514034805,1234.7725263581233,-2.8282828282828243,92.00119968184099,90.8981239885686,2.2822954098664248,2325755.1042824006,1493623.0137821299,28.448627699857262
9,0.958,0.908981239885686,0.7,0.8980561526693159,22.792704590133575,22.518758028183097,15.366974720352587,8189.845762060324,437.00348865479975,4077.753893227361,False,129446.0,42246.86000896721,54858.985,15846.759616153891,13445.697740889978,7661.539515582446,4411.649575429494,5969.483298483341,329.4544919014792,9039.517926804856,9368.972418706331,2.279270459013358,617847.6106388815,1064848.0106252884,1166855.243146547,2849550.864410717,187098.10900972752,272752.8910394676,132057.1388107839,591908.138859979,986906.346983033,0.0,4428365.350253729,2215285.192545169,0.0,0,True,3601.681426387029,0.0,económico LP + reserva multianual de degradación,36953.99687262632,1030.432582145062,2.868402961946897,1411.168601552141,-3.232323232323231,90.8981239885686,89.8056152669316,2.5562419718169025,2338759.1003225786,1425484.8767100172,28.54780902664147
10,0.954,0.8980561526693159,0.7,0.8872375448952862,22.518758028183097,22.2474814382493,15.3723080729858,7768.21458147851,432.7443109611936,4510.498204188554,False,129446.0,42070.46393377319,54858.985,15812.5495042152,13548.095855420332,7721.790767005158,4349.158112046478,5930.796874918504,329.56883431525165,8948.090541420646,9277.659375735897,2.2518758028183097,631926.6411609176,1099781.4897638331,1205432.3188245653,2937140.449749316,191775.56173497072,279571.71331545425,135358.56728105346,606705.8423314784,1011579.0056576089,0.0,4555425.297738403,2110043.333368662,0.0,0,True,3563.5894491847994,0.0,económico LP + reserva multianual de degradación,37082.43612664069,1158.8718361594365,3.2259377905507702,1587.5646767461585,-3.6363636363636376,89.8056152669316,88.72375448952862,2.8275185617507006,2351851.6606128532,1360464.3299140036,28.64703129230775
