Fecha/hora,Hora,Estación,Banda,Tarifa base [USD/MWh],Tarifa año [USD/MWh],Demanda [MW],FV [MW],Eólico [MW],Renovable [MW],P neta [MW],Déficit [MW],Excedente renovable [MW],SOC inicio [MWh],Carga desde renovable [MW],Descarga obligatoria [MW],Carga desde red [MW],Descarga económica [MW],Descarga total [MW],SOC fin [MWh],P red para consumo [MW],P red importada total [MW],P exportada [MW],Curtailment / vertido [MW],P T1 neta (+import/-export) [MW],Demanda no abastecida [MW],Costo red horario [USD],Error balance [MW]
2020-01-01 00:00:00,0,Verano,Valle,32.0,35.322012499999985,11.5,0.0,2.0584999999999996,2.0584999999999996,9.441500000000001,9.441500000000001,0.0,23.91452589577435,0.0,0.0,0.0,0.0,-0.0,23.91452589577435,9.441500000000001,9.441500000000001,0.0,0.0,9.441500000000001,0.0,333.4927810187499,0.0
2020-01-01 01:00:00,1,Verano,Valle,32.0,35.322012499999985,11.0,0.0,1.5580000000000003,1.5580000000000003,9.442,9.442,0.0,23.91452589577435,0.0,0.0,0.0,0.0,0.0,23.91452589577435,9.442,9.442,0.0,0.0,9.442,0.0,333.51044202499986,0.0
2020-01-01 02:00:00,2,Verano,Valle,32.0,35.322012499999985,10.5,0.0,1.084,1.084,9.416,9.416,0.0,23.91452589577435,0.0,0.0,0.0,0.0,0.0,23.91452589577435,9.416,9.416,0.0,0.0,9.416,0.0,332.59206969999985,0.0
2020-01-01 03:00:00,3,Verano,Valle,32.0,35.322012499999985,10.5,0.0,3.8369999999999997,3.8369999999999997,6.663,6.663,0.0,23.91452589577435,0.0,0.0,-0.0,0.0,0.0,23.91452589577435,6.663,6.663,0.0,0.0,6.663,0.0,235.35056928749992,0.0
2020-01-01 04:00:00,4,Verano,Resto,65.0,71.74783789062496,12.0,0.0,7.621,7.621,4.379,4.379,0.0,23.91452589577435,0.0,0.0,0.0,4.379,4.379,19.305052211563826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 05:00:00,5,Verano,Resto,65.0,71.74783789062496,13.5,0.0,7.38,7.38,6.12,6.12,0.0,19.305052211563826,0.0,0.0,0.0,0.0,0.0,19.305052211563826,6.12,6.12,0.0,0.0,6.12,0.0,439.0967678906248,0.0
2020-01-01 06:00:00,6,Verano,Resto,65.0,71.74783789062496,15.0,1.711791633154455,5.776,7.487791633154455,7.512208366845545,7.512208366845545,0.0,19.305052211563826,0.0,0.0,0.0,5.0684700542307075,5.0684700542307075,13.969820575531504,2.4437383126148378,2.4437383126148378,0.0,0.0,2.4437383126148378,0.0,175.33294030059878,0.0
2020-01-01 07:00:00,7,Verano,Resto,65.0,71.74783789062496,16.5,4.597495223906113,5.629,10.226495223906113,6.273504776093887,6.273504776093887,0.0,13.969820575531504,0.0,0.0,0.0,2.395439454851268,2.395439454851268,11.44830535989859,3.878065321242619,3.878065321242619,0.0,0.0,3.878065321242619,0.0,278.24280199776985,0.0
2020-01-01 08:00:00,8,Verano,Resto,65.0,71.74783789062496,17.5,4.892939412481253,6.4159999999999995,11.308939412481251,6.1910605875187485,6.1910605875187485,0.0,11.44830535989859,0.0,0.0,0.0,5.0684700542307075,5.0684700542307075,6.113073723866268,1.122590533288041,1.122590533288041,0.0,0.0,1.122590533288041,0.0,80.5434435999006,0.0
2020-01-01 09:00:00,9,Verano,Resto,65.0,71.74783789062496,18.0,8.262446631726043,7.497,15.759446631726043,2.2405533682739573,2.2405533682739573,0.0,6.113073723866268,0.0,0.0,0.0,0.0,0.0,6.113073723866268,2.2405533682739573,2.2405533682739573,0.0,0.0,2.2405533682739573,0.0,160.75485985221363,0.0
