P_FV [MW],N aeros,P_EOL instalada [MW],P_BESS [MW],N containers BESS,E_BESS [MWh],Duración BESS nominal [h],Duración BESS útil BOL [h],CAPEX FV [USD],CAPEX eólico [USD],CAPEX BESS energía [USD],CAPEX BESS potencia [USD],CAPEX BESS total [USD],CAPEX total [USD],VP operación 20a [USD],Costo total 20a [USD],Horas no cumple 20a,Energía no abastecida 20a [MWh],Ciclos acumulados año 20,SOH final año 20,EOL alcanzado,Exportación 20a [MWh],Potencia módulo FV [W],Pitch FV [m],GCR FV,N módulos FV,Área FV terreno [m2],Área BESS screening [m2],Área eólica reservada screening [m2],Área residual tras eólica [m2],Área total screening [m2],Uso terreno total screening [%],Factible,Costo surrogate 20a [USD],Etapa V20
18.692388854748327,3,10.290000000000001,3.5016981333069666,4,20.06,5.728649140026113,5.155784226023502,11477126.756815473,9775500.0,3811399.9999999995,836905.853860365,4648305.853860364,26300932.610675834,45413901.22184174,71714833.83251756,0,0.0,8510.885458606168,0.7872278635348458,False,67096.58861766505,700.0,6.5,0.36676923076923074,26704,226169.52800000002,88.333616,39819.68688425063,764344.3875157494,266077.5485002506,33.08747020299003,True,76325686.90568341,validación familia
19.440028688293697,3,10.290000000000001,4.893470054230708,5,25.075,5.12417563040385,4.611758067363465,11936177.61461233,9775500.0,4764250.0,1169539.342961139,5933789.342961139,28045466.95757347,43362941.61128337,71408408.56885684,0,0.0,8480.712605679233,0.7879821848580192,False,63340.78225381308,700.0,6.5,0.36676923076923074,27772,235214.954,112.85502000000001,39819.68688425063,764344.3875157494,275147.4959042506,34.215342945970654,True,77203261.25015888,validación familia
18.274862224439364,3,10.290000000000001,5.5915749321419215,6,30.089999999999996,5.381310340139473,4.843179306125526,11220765.405805768,9775500.0,5717099.999999999,1336386.4087819192,7053486.408781918,28449751.814587682,43112390.13656446,71562141.95115215,0,0.0,7986.481755988476,0.8003379561002881,False,42700.6290437165,700.0,6.5,0.36676923076923074,26107,221113.2365,137.37642400000001,39819.68688425063,764344.3875157494,261070.29980825062,32.464805146019415,True,78131300.83851784,validación familia
19.314597149159624,3,10.290000000000001,5.645992771981933,7,35.105,6.217684190849037,5.595915771764133,11859162.649584008,9775500.0,6669949.999999999,1349392.272503682,8019342.2725036815,30054004.92208769,41659297.00235346,71713301.92444116,0,0.0,7632.174043321742,0.8091956489169565,False,44102.84985694807,700.0,6.5,0.36676923076923074,27593,233698.9135,161.89782800000003,39819.68688425063,764344.3875157494,273680.4982122506,34.032917774453935,True,79017414.89061359,validación familia
17.73135691150133,3,10.290000000000001,7.498574807782128,8,40.12,5.350350036964743,4.815315033268268,10887053.143661816,9775500.0,7622799.999999999,1792159.3790599285,9414959.379059928,30477512.522721745,41563289.823888145,72040802.34660989,0,0.0,7397.251589063413,0.8150687102734147,False,25850.964209015856,700.0,6.5,0.36676923076923074,25331,214540.9045,186.41923200000002,39819.68688425063,764344.3875157494,254547.01061625063,31.65361631034964,True,80174233.8219422,validación familia
6.78331735503783,4,13.72,4.721845748829684,4,20.06,4.248338693607663,3.823504824246897,4164956.8559932276,13034000.0,3811399.9999999995,1128521.1339702944,4939921.133970294,22538877.98996352,49513025.389163315,72051903.37912683,0,0.0,7115.177792841606,0.8221205551789599,False,16979.00133931695,700.0,6.5,0.36676923076923074,9691,82077.92450000001,88.333616,53092.91584566751,751071.1585543326,135259.17396166752,16.81984787278474,True,76222385.53112058,validación familia
6.836260909319224,4,13.72,4.973207064180334,5,25.075,5.042018093435804,4.537816284092223,4197464.198322004,13034000.0,4764250.0,1188596.4883390998,5952846.4883391,23584310.686661106,48361287.630444646,71945598.31710576,0,0.0,6892.843864522744,0.8276789033869314,False,11858.229637677821,700.0,6.5,0.36676923076923074,9767,82721.6065,112.85502000000001,53092.91584566751,751071.1585543326,135927.3773656675,16.902940791913032,True,76956117.53749976,validación familia
6.684698608124918,4,13.72,5.105809117873996,6,30.089999999999996,5.8932872940085845,5.303958564607726,4104404.9453886994,13034000.0,5717099.999999999,1220288.379171885,6937388.379171884,24475793.324560583,47730113.27323402,72205906.59779459,0,0.0,6680.347527043328,0.8329913118239167,False,7951.171359036696,700.0,6.5,0.36676923076923074,9550,80883.725,137.37642400000001,53092.91584566751,751071.1585543326,134114.01726966753,16.677444509036565,True,77931334.55741352,validación familia
6.71571700562888,4,13.72,5.595050248557923,7,35.105,6.274295750792946,5.646866175713652,4123450.2414561324,13034000.0,6669949.999999999,1337217.0094053436,8007167.009405343,25564617.250861473,47023274.79105864,72587892.04192011,0,0.0,6468.940928395113,0.8382764767901222,False,6422.206556856541,700.0,6.5,0.36676923076923074,9594,81256.383,161.89782800000003,53092.91584566751,751071.1585543326,134511.19667366752,16.726834853201883,True,78935133.03847526,validación familia
6.907101951503201,4,13.72,8.150886365868214,8,40.12,4.922164068929025,4.429947662036122,4240960.598222965,13034000.0,7622799.999999999,1948061.841442503,9570861.841442503,27245822.439665467,45833703.45885591,73079525.89852138,0,0.0,6371.456698697528,0.8407135825325618,False,5859.317816646311,700.0,6.5,0.36676923076923074,9868,83577.02600000001,186.41923200000002,53092.91584566751,751071.1585543326,136856.3610776675,17.018462454913603,True,80128613.21544987,validación familia
18.690028688293697,3,10.290000000000001,4.893470054230708,5,25.075,5.12417563040385,4.611758067363465,11475677.61461233,9775500.0,4764250.0,1169539.342961139,5933789.342961139,27584966.95757347,43898018.19760545,71482985.15517892,0,0.0,8388.116201935245,0.7902970949516188,False,55520.58540501165,700.0,6.5,0.36676923076923074,26701,226144.1195,112.85502000000001,39819.68688425063,764344.3875157494,266076.6614042506,33.087359890178476,True,,refinamiento ronda 1
