Componente,Valor presente [USD],Participación costo total [%]
CAPEX FV,9358235.137793979,13.893215275698221
CAPEX eólico,16292500.000000002,24.187809618627742
CAPEX BESS energía,3811399.9999999995,5.658396046060319
CAPEX BESS potencia,890799.4620409276,1.3224789195164623
CAPEX fijo proyecto,400000.0,0.5938391190701915
VP OPEX FV,1380569.090306315,2.0495898310075944
VP OPEX eólico,4329619.057813685,6.427742918003979
VP OPEX BESS,1022614.566883672,1.5181713338663632
VP potencia contratada,9549720.034389654,14.177493331472279
VP red Valle,3051658.688564563,4.53048576830019
VP red Resto,8450406.197674511,12.545454430530794
VP red Pico,8820788.652893048,13.095323407845871
VP reemplazo BESS,0.0,0.0
