Fecha/hora,Hora,Estación,Banda,Tarifa base [USD/MWh],Tarifa año [USD/MWh],Demanda [MW],FV [MW],Eólico [MW],Renovable [MW],P neta [MW],Déficit [MW],Excedente renovable [MW],SOC inicio [MWh],Carga desde renovable [MW],Descarga obligatoria [MW],Carga desde red [MW],Descarga económica [MW],Descarga total [MW],SOC fin [MWh],P red para consumo [MW],P red importada total [MW],P exportada [MW],Curtailment / vertido [MW],P T1 neta (+import/-export) [MW],Demanda no abastecida [MW],Costo red horario [USD],Error balance [MW]
2020-01-01 00:00:00,0,Verano,Valle,32.0,39.96361503832529,11.5,0.0,2.0584999999999996,2.0584999999999996,9.441500000000001,9.441500000000001,0.0,22.518758028183097,0.0,0.0,0.0,0.0,-0.0,22.518758028183097,9.441500000000001,9.441500000000001,0.0,0.0,9.441500000000001,0.0,377.31647138434823,0.0
2020-01-01 01:00:00,1,Verano,Valle,32.0,39.96361503832529,11.0,0.0,1.5580000000000003,1.5580000000000003,9.442,9.442,0.0,22.518758028183097,0.0,0.0,0.0,0.0,0.0,22.518758028183097,9.442,9.442,0.0,0.0,9.442,0.0,377.33645319186735,0.0
2020-01-01 02:00:00,2,Verano,Valle,32.0,39.96361503832529,10.5,0.0,1.084,1.084,9.416,9.416,0.0,22.518758028183097,0.0,0.0,0.0,0.0,0.0,22.518758028183097,9.416,9.416,0.0,0.0,9.416,0.0,376.2973992008709,0.0
2020-01-01 03:00:00,3,Verano,Valle,32.0,39.96361503832529,10.5,0.0,3.8369999999999997,3.8369999999999997,6.663,6.663,0.0,22.518758028183097,0.0,0.0,0.0,0.0,0.0,22.518758028183097,6.663,6.663,0.0,0.0,6.663,0.0,266.2775670003614,0.0
2020-01-01 04:00:00,4,Verano,Resto,65.0,81.17609304659824,12.0,0.0,7.621,7.621,4.379,4.379,0.0,22.518758028183097,0.0,0.0,0.0,4.379,4.379,17.909284343972573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 05:00:00,5,Verano,Resto,65.0,81.17609304659824,13.5,0.0,7.38,7.38,6.12,6.12,0.0,17.909284343972573,0.0,0.0,0.0,0.0,0.0,17.909284343972573,6.12,6.12,0.0,0.0,6.12,0.0,496.7976894451812,0.0
2020-01-01 06:00:00,6,Verano,Resto,65.0,81.17609304659824,15.0,1.6766419076276695,5.776,7.452641907627669,7.547358092372331,7.547358092372331,0.0,17.909284343972573,0.0,0.0,0.0,0.42982424322932183,0.42982424322932183,17.456837772152234,7.117533849143009,7.117533849143009,0.0,0.0,7.117533849143009,0.0,577.7735900003454,0.0
2020-01-01 07:00:00,7,Verano,Resto,65.0,81.17609304659824,16.5,4.5030908045240565,5.629,10.132090804524056,6.367909195475944,6.367909195475944,0.0,17.456837772152234,0.0,0.0,0.0,5.0684700542307075,5.0684700542307075,12.121606136119912,1.2994391412452364,1.2994391412452364,0.0,0.0,1.2994391412452364,0.0,105.48339263811502,0.0
2020-01-01 08:00:00,8,Verano,Resto,65.0,81.17609304659824,17.5,4.792468377317367,6.4159999999999995,11.208468377317367,6.291531622682633,6.291531622682633,0.0,12.121606136119912,0.0,0.0,0.0,5.0684700542307075,5.0684700542307075,6.7863745000875895,1.223061568451926,1.223061568451926,0.0,0.0,1.223061568451926,0.0,99.28335968237192,0.0
2020-01-01 09:00:00,9,Verano,Resto,65.0,81.17609304659824,18.0,8.092786536618732,7.497,15.589786536618732,2.410213463381268,2.410213463381268,0.0,6.7863745000875895,0.0,0.0,0.0,0.0,0.0,6.7863745000875895,2.410213463381268,2.410213463381268,0.0,0.0,2.410213463381268,0.0,195.65171236560164,0.0
