Fecha/hora,Hora,Estación,Banda,Tarifa base [USD/MWh],Tarifa año [USD/MWh],Demanda [MW],FV [MW],Eólico [MW],Renovable [MW],P neta [MW],Déficit [MW],Excedente renovable [MW],SOC inicio [MWh],Carga desde renovable [MW],Descarga obligatoria [MW],Carga desde red [MW],Descarga económica [MW],Descarga total [MW],SOC fin [MWh],P red para consumo [MW],P red importada total [MW],P exportada [MW],Curtailment / vertido [MW],P T1 neta (+import/-export) [MW],Demanda no abastecida [MW],Costo red horario [USD],Error balance [MW]
2020-01-01 00:00:00,0,Verano,Valle,32.0,32.0,11.5,0.0,3.430833333333333,3.430833333333333,8.069166666666668,8.069166666666668,0.0,20.06,0.0,0.0,0.0,0.1264353363147647,0.1264353363147647,19.926910172300246,7.942731330351903,7.942731330351903,0.0,0.0,7.942731330351903,0.0,254.1674025712609,1.7763568394002505e-15
2020-01-01 01:00:00,1,Verano,Valle,32.0,32.0,11.0,0.0,2.596666666666667,2.596666666666667,8.403333333333332,8.403333333333332,0.0,19.926910172300246,0.0,0.0,0.0,0.0,0.0,19.926910172300246,8.403333333333332,8.403333333333332,0.0,0.0,8.403333333333332,0.0,268.90666666666664,0.0
2020-01-01 02:00:00,2,Verano,Valle,32.0,32.0,10.5,0.0,1.8066666666666664,1.8066666666666664,8.693333333333333,8.693333333333333,0.0,19.926910172300246,0.0,0.0,0.0,3.727194401844885,3.727194401844885,16.003547644042474,4.966138931488448,4.966138931488448,0.0,0.0,4.966138931488448,0.0,158.91644580763034,0.0
2020-01-01 03:00:00,3,Verano,Valle,32.0,32.0,10.5,0.0,6.395,6.395,4.105,4.105,0.0,16.003547644042474,0.0,0.0,0.0,3.727194401844885,3.727194401844885,12.0801851157847,0.3778055981551151,0.3778055981551151,0.0,0.0,0.3778055981551151,0.0,12.089779140963683,0.0
2020-01-01 04:00:00,4,Verano,Resto,65.0,65.0,12.0,0.0,12.701666666666666,12.701666666666666,-0.7016666666666662,0.0,0.7016666666666662,12.0801851157847,0.7016666666666662,0.0,0.0,0.0,0.0,12.746768449118036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 05:00:00,5,Verano,Resto,65.0,65.0,13.5,0.0,12.3,12.3,1.1999999999999993,1.1999999999999993,0.0,12.746768449118036,0.0,0.0,0.0,1.1999999999999993,1.1999999999999993,11.483610554381194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 06:00:00,6,Verano,Resto,65.0,65.0,15.0,1.559925285224624,9.626666666666669,11.186591951891293,3.813408048108709,3.813408048108709,0.0,11.483610554381194,0.0,0.0,0.0,3.727194401844885,3.727194401844885,7.5602480261234195,0.0862136462638236,0.0862136462638236,0.0,0.0,0.0862136462638236,0.0,5.603887007148538,0.0
2020-01-01 07:00:00,7,Verano,Resto,65.0,65.0,16.5,4.189615669083881,9.381666666666666,13.571282335750546,2.9287176642494543,2.9287176642494543,0.0,7.5602480261234195,0.0,0.0,0.0,2.9287176642494543,2.9287176642494543,4.477387326913468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 08:00:00,8,Verano,Resto,65.0,65.0,17.5,4.458848706098874,10.693333333333332,15.152182039432205,2.347817960567795,2.347817960567795,0.0,4.477387326913468,0.0,0.0,0.0,2.347817960567795,2.347817960567795,2.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 09:00:00,9,Verano,Resto,65.0,65.0,18.0,7.529420736154236,12.495,20.02442073615424,-2.024420736154237,0.0,2.024420736154237,2.006,0.0,0.0,0.0,0.0,0.0,2.006,0.0,0.0,2.024420736154237,0.0,-2.024420736154237,0.0,0.0,0.0
