Año,SOH mínimo técnico,Ciclos mínimos técnicos,Máx ciclos acumulados por SOH técnico,Envolvente ciclos acumulados al inicio,Envolvente ciclos acumulados al final,Envolvente ciclos acumulados siguiente inicio
1,0.7,15.326167554671365,12000.000000000002,11692.478414130106,11707.804581684775,11707.804581684775
2,0.7,15.331213437147875,12000.000000000002,11707.804581684775,11723.135795121923,11723.135795121923
3,0.7,15.336259319624393,12000.000000000002,11723.135795121923,11738.47205444155,11738.47205444155
4,0.7,15.341305202100909,12000.000000000002,11738.47205444155,11753.813359643653,11753.813359643653
5,0.7,15.346351084577424,12000.000000000002,11753.813359643653,11769.159710728229,11769.159710728229
6,0.7,15.351396967053937,12000.000000000002,11769.159710728229,11784.511107695283,11784.511107695283
7,0.7,15.356442849530453,12000.000000000002,11784.511107695283,11799.867550544814,11799.867550544814
8,0.7,15.361641367719375,12000.000000000002,11799.867550544814,11815.229191912533,11815.229191912533
9,0.7,15.366974720352587,12000.000000000002,11815.229191912533,11830.596166632886,11830.596166632886
10,0.7,15.3723080729858,12000.000000000002,11830.596166632886,11845.96847470587,11845.96847470587
11,0.7,15.3779015356556,12000.000000000002,11845.96847470587,11861.346376241529,11861.346376241529
12,0.7,15.383506977843412,12000.000000000002,11861.346376241529,11876.72988321937,11876.72988321937
13,0.7,15.389112420031228,12000.000000000002,11876.72988321937,11892.1189956394,11892.1189956394
14,0.7,15.39471786221904,12000.000000000002,11892.1189956394,11907.51371350162,11907.51371350162
15,0.7,15.400323304406852,12000.000000000002,11907.51371350162,11922.914036806029,11922.914036806029
16,0.7,15.405928746594666,12000.000000000002,11922.914036806029,11938.319965552622,11938.319965552622
17,0.7,15.41153418878248,12000.000000000002,11938.319965552622,11953.731499741403,11953.731499741403
18,0.7,15.41713963097029,12000.000000000002,11953.731499741403,11969.148639372375,11969.148639372375
19,0.7,15.422745073158104,12000.000000000002,11969.148639372375,11984.571384445531,11984.571384445531
20,0.7,15.428615554469218,12000.000000000002,11984.571384445531,12000.000000000002,12000.000000000002
