P_FV [MW],N aeros,P_EOL instalada [MW],P_BESS [MW],N containers BESS,E_BESS [MWh],Duración BESS nominal [h],Duración BESS útil BOL [h],CAPEX FV [USD],CAPEX eólico [USD],CAPEX BESS energía [USD],CAPEX BESS potencia [USD],CAPEX BESS total [USD],CAPEX total [USD],VP operación 20a [USD],Costo total 20a [USD],Horas no cumple 20a,Energía no abastecida 20a [MWh],Ciclos acumulados año 20,SOH final año 20,EOL alcanzado,Exportación 20a [MWh],Potencia módulo FV [W],Pitch FV [m],GCR FV,N módulos FV,Área FV terreno [m2],Área BESS screening [m2],Área eólica reservada screening [m2],Área residual tras eólica [m2],Área total screening [m2],Uso terreno total screening [%],Factible,Costo surrogate 20a [USD],Etapa V13
25.48814830055799,0,0.0,6.706979750035481,6,30.089999999999996,4.486371082280487,4.037733974052439,15649723.056542607,0.0,5717099.999999999,1602968.16025848,7320068.160258479,23369791.216801085,79075686.1023932,102445477.31919429,0,0.0,2578.125,0.935546875,False,0.0,700.0,6.5,0.36676923076923074,36412,308391.434,137.37642400000001,0.0,804164.0744,308528.810424,38.366400619699206,True,101246540.75976373,validación familia
25.755188384449305,0,0.0,5.612006684258549,7,35.105,6.255338237295422,5.629804413565879,15813685.668051872,0.0,6669949.999999999,1341269.5975377932,8011219.597537792,24224905.265589666,73805989.35625719,98030894.62184685,0,0.0,6161.746934529508,0.8459563266367622,False,0.0,700.0,6.5,0.36676923076923074,36794,311626.783,161.89782800000003,0.0,804164.0744,311788.680828,38.77177441191098,True,102339446.33865145,validación familia
25.457874516147243,0,0.0,5.897382546079443,8,40.12,6.803018065475778,6.122716258928201,15631134.952914407,0.0,7622799.999999999,1409474.428512987,9032274.428512987,25063409.381427392,73822233.88559048,98885643.26701787,0,0.0,5710.547273309991,0.8572363181672502,False,0.0,700.0,6.5,0.36676923076923074,36369,308027.2455,186.41923200000002,0.0,804164.0744,308213.66473200003,38.32721139177515,True,103484600.80160995,validación familia
23.618013485075068,1,3.43,3.6518927420717393,4,20.06,5.4930419420313665,4.94373774782823,14501460.279836092,3258500.0,3811399.9999999995,872802.3653551457,4684202.365355145,22844162.645191237,64521835.74186427,87365998.38705552,0,0.0,6621.09375,0.83447265625,False,1183.5752730591828,700.0,6.5,0.36676923076923074,33741,285769.3995,88.333616,13273.228961416877,790890.8454385832,299130.9620774169,37.19775249853127,True,90466533.33987953,validación familia
23.654452960177153,1,3.43,8.81517593563092,5,25.075,2.8445263240461154,2.560073691641504,14523834.117548771,3258500.0,4764250.0,2106827.04861579,6871077.04861579,25053411.166164562,62690950.318818584,87744361.48498315,0,0.0,7273.781723042119,0.8181554569239471,False,270.6247013903886,700.0,6.5,0.36676923076923074,33793,286209.8135,112.85502000000001,13273.228961416877,790890.8454385832,299595.8974814169,37.25556848643733,True,92242684.9387008,validación familia
21.470562362520194,1,3.43,6.878039508598073,6,30.089999999999996,4.3747931314417725,3.9373138182975955,13182925.2905874,3258500.0,5717099.999999999,1643851.4425549395,7360951.442554939,24202376.73314234,63343165.48920357,87545542.22234592,0,0.0,7003.139733458775,0.8249215066635306,False,25.501667842779817,700.0,6.5,0.36676923076923074,30673,259784.9735,137.37642400000001,13273.228961416877,790890.8454385832,273195.57888541685,33.972616731138174,True,92768587.48295714,validación familia
25.59974500160033,1,3.43,7.798817357842116,7,35.105,4.501323519866778,4.0511911678801,15718243.430982603,3258500.0,6669949.999999999,1863917.3485242657,8533867.348524265,27910610.77950687,59309036.19083219,87219646.97033906,0,0.0,7090.605423499887,0.8227348644125028,False,0.0,700.0,6.5,0.36676923076923074,36572,309746.554,161.89782800000003,13273.228961416877,790890.8454385832,323181.6807894169,40.18852508806092,True,93453765.40706775,validación familia
25.831336301724633,1,3.43,6.207256004467332,8,40.12,6.463403470249306,5.817063123224375,15860440.489258924,3258500.0,7622799.999999999,1483534.1850676925,9106334.18506769,28625274.674326614,59179336.84927811,87804611.52360472,0,0.0,6663.3450696662685,0.8334163732583433,False,0.0,700.0,6.5,0.36676923076923074,36902,312541.489,186.41923200000002,13273.228961416877,790890.8454385832,326001.1371934169,40.539132195957855,True,94358305.59525919,validación familia
20.953707666769805,2,6.86,6.183939693261823,4,20.06,3.2438867445389032,2.919498070085013,12865576.50739666,6517000.0,3811399.9999999995,1477961.5866895756,5289361.586689575,25071938.094086237,53993205.82471889,79065143.91880512,0,0.0,7921.874999999998,0.801953125,False,20674.6508775783,700.0,6.5,0.36676923076923074,29934,253526.013,88.333616,26546.457922833753,777617.6164771663,280160.80453883373,34.838761573360046,True,83146220.39568521,validación familia
22.15092498386097,2,6.86,3.9824077161883067,5,25.075,6.296442199544577,5.66679797959012,13600667.940090636,6517000.0,4764250.0,951795.4441690053,5716045.444169005,26233713.38425964,52210781.452099025,78444494.83635867,0,0.0,7870.521080421915,0.8032369729894522,False,16080.507046009061,700.0,6.5,0.36676923076923074,31645,268017.3275,112.85502000000001,26546.457922833753,777617.6164771663,294676.64044283377,36.64384543200302,True,83538931.36885527,validación familia
